Location,Place_to_Go,Temperature
Darjeeling,Hill Station,16.4
Shimla,Hill Station,29.5
Manali,Hill Station,36.9
Shimla,Hill Station,32.1
Jaipur,Desert,18.9
Kolkata,Water Park,13.7
Puri,Beach,37.6
Shimla,Hill Station,34.1
Shimla,Hill Station,13.1
Shimla,Hill Station,24.1
Ooty,Hill Station,22.9
Delhi,Water Park,25.3
Bangalore,Water Park,21.5
Darjeeling,Hill Station,36.0
Manali,Hill Station,27.9
Jaipur,Desert,11.0
Bikaner,Desert,38.2
Hyderabad,Water Park,11.1
Darjeeling,Hill Station,36.1
Puri,Beach,16.6
Ooty,Hill Station,20.2
Manali,Hill Station,36.8
Jaisalmer,Desert,38.6
Darjeeling,Hill Station,17.2
Bikaner,Desert,34.9
Jaipur,Desert,25.8
Puri,Beach,24.5
Kolkata,Water Park,27.6
Bangalore,Water Park,39.8
Darjeeling,Hill Station,21.9
Jaipur,Desert,28.9
Delhi,Water Park,23.6
Chennai,Beach,15.9
Bangalore,Water Park,29.9
Bangalore,Water Park,37.1
Kolkata,Water Park,20.7
Mumbai,Beach,39.4
Mumbai,Beach,19.7
Manali,Hill Station,16.2
Bikaner,Desert,12.6
Jaisalmer,Desert,33.4
Ooty,Hill Station,25.5
Goa,Beach,27.2
Delhi,Water Park,11.3
Puri,Beach,34.1
Darjeeling,Hill Station,16.4
Delhi,Water Park,15.7
Ooty,Hill Station,28.1
Delhi,Water Park,10.2
Bangalore,Water Park,13.7
Chennai,Beach,38.6
Goa,Beach,10.0
Kutch,Desert,27.7
Ooty,Hill Station,35.6
Shimla,Hill Station,27.7
Darjeeling,Hill Station,25.0
Ooty,Hill Station,11.0
Bikaner,Desert,25.2
Hyderabad,Water Park,30.8
Shimla,Hill Station,27.3
Delhi,Water Park,19.4
Kutch,Desert,34.7
Bikaner,Desert,15.4
Manali,Hill Station,32.1
Puri,Beach,37.0
Bangalore,Water Park,19.2
Manali,Hill Station,35.7
Kutch,Desert,38.2
Bikaner,Desert,22.6
Mumbai,Beach,25.4
Darjeeling,Hill Station,32.9
Puri,Beach,20.0
Bangalore,Water Park,36.4
Mumbai,Beach,30.2
Chennai,Beach,31.1
Goa,Beach,17.6
Ooty,Hill Station,13.7
Bikaner,Desert,38.0
Ooty,Hill Station,22.8
Mumbai,Beach,39.7
Jaisalmer,Desert,30.5
Goa,Beach,15.6
Ooty,Hill Station,26.9
Jaisalmer,Desert,35.5
Kolkata,Water Park,28.0
Jaisalmer,Desert,14.3
Bikaner,Desert,25.9
Chennai,Beach,29.0
Jaisalmer,Desert,34.8
Ooty,Hill Station,19.1
Jaipur,Desert,29.4
Mumbai,Beach,32.6
Bangalore,Water Park,11.3
Goa,Beach,34.7
Ooty,Hill Station,17.1
Puri,Beach,17.2
Kolkata,Water Park,16.5
Jaipur,Desert,29.4
Hyderabad,Water Park,27.8
Puri,Beach,11.7
Jaisalmer,Desert,21.3
Ooty,Hill Station,20.5
Chennai,Beach,30.5
Kolkata,Water Park,14.4
Chennai,Beach,23.8
Hyderabad,Water Park,38.5
Bikaner,Desert,35.9
Bangalore,Water Park,21.7
Chennai,Beach,30.6
Chennai,Beach,22.5
Darjeeling,Hill Station,14.9
Bangalore,Water Park,38.3
Darjeeling,Hill Station,23.5
Delhi,Water Park,22.3
Chennai,Beach,23.1
Jaisalmer,Desert,28.6
Ooty,Hill Station,35.7
Hyderabad,Water Park,34.4
Kutch,Desert,13.9
Mumbai,Beach,26.4
Bikaner,Desert,23.0
Bikaner,Desert,34.3
Hyderabad,Water Park,28.8
Kolkata,Water Park,30.4
Ooty,Hill Station,39.5
Kutch,Desert,32.8
Mumbai,Beach,22.9
Puri,Beach,17.7
Goa,Beach,26.8
Kolkata,Water Park,22.4
Manali,Hill Station,24.4
Goa,Beach,12.9
Goa,Beach,30.9
Chennai,Beach,10.3
Delhi,Water Park,19.8
Bangalore,Water Park,16.7
Manali,Hill Station,36.3
Goa,Beach,21.1
Shimla,Hill Station,35.7
Jaisalmer,Desert,11.0
Chennai,Beach,20.5
Kolkata,Water Park,34.4
Puri,Beach,28.4
Darjeeling,Hill Station,36.4
Delhi,Water Park,14.0
Bangalore,Water Park,27.3
Darjeeling,Hill Station,24.9
Delhi,Water Park,38.0
Goa,Beach,37.0
Chennai,Beach,22.3
Kolkata,Water Park,18.9
Ooty,Hill Station,32.2
Darjeeling,Hill Station,27.4
Chennai,Beach,16.6
Manali,Hill Station,39.5
Bangalore,Water Park,18.4
Kolkata,Water Park,13.1
Manali,Hill Station,27.4
Bangalore,Water Park,11.0
Shimla,Hill Station,21.3
Jaisalmer,Desert,21.3
Bikaner,Desert,12.9
Jaipur,Desert,18.7
Bikaner,Desert,36.5
Bangalore,Water Park,22.7
Kolkata,Water Park,33.7
Jaisalmer,Desert,25.8
Shimla,Hill Station,20.9
Kutch,Desert,11.3
Kutch,Desert,10.8
Shimla,Hill Station,16.4
Kutch,Desert,12.7
Manali,Hill Station,21.0
Hyderabad,Water Park,26.8
Darjeeling,Hill Station,15.3
Goa,Beach,24.4
Kolkata,Water Park,38.3
Mumbai,Beach,30.8
Shimla,Hill Station,22.0
Hyderabad,Water Park,27.9
Hyderabad,Water Park,23.4
Darjeeling,Hill Station,38.3
Jaisalmer,Desert,11.8
Manali,Hill Station,39.3
Bangalore,Water Park,31.0
Bangalore,Water Park,22.4
Kutch,Desert,22.0
Bikaner,Desert,11.0
Manali,Hill Station,22.1
Darjeeling,Hill Station,35.0
Jaipur,Desert,32.7
Jaipur,Desert,33.0
Hyderabad,Water Park,28.3
Jaisalmer,Desert,31.7
Delhi,Water Park,19.0
Chennai,Beach,24.2
Mumbai,Beach,25.6
Jaipur,Desert,25.3
Hyderabad,Water Park,21.0
Jaipur,Desert,36.9
Mumbai,Beach,10.5
Hyderabad,Water Park,29.3
Puri,Beach,10.5
Mumbai,Beach,15.2
Bikaner,Desert,15.1
Goa,Beach,39.0
Bikaner,Desert,27.3
Bangalore,Water Park,21.8
Chennai,Beach,26.6
Chennai,Beach,31.7
Puri,Beach,12.1
Jaipur,Desert,18.3
Kutch,Desert,34.4
Bangalore,Water Park,14.3
Kutch,Desert,25.4
Goa,Beach,39.9
Bikaner,Desert,10.4
Goa,Beach,33.9
Kolkata,Water Park,27.6
Goa,Beach,12.3
Shimla,Hill Station,33.8
Bangalore,Water Park,17.7
Ooty,Hill Station,23.4
Jaipur,Desert,38.4
Bangalore,Water Park,10.6
Bikaner,Desert,24.7
Bikaner,Desert,18.5
Manali,Hill Station,21.5
Ooty,Hill Station,35.7
Mumbai,Beach,32.1
Kolkata,Water Park,28.2
Delhi,Water Park,37.9
Kutch,Desert,16.7
Bangalore,Water Park,10.0
Hyderabad,Water Park,26.9
Puri,Beach,14.4
Ooty,Hill Station,33.1
Goa,Beach,25.2
Jaipur,Desert,37.8
Chennai,Beach,31.9
Chennai,Beach,14.4
Darjeeling,Hill Station,39.8
Bikaner,Desert,31.1
Delhi,Water Park,35.4
Chennai,Beach,29.9
Bangalore,Water Park,33.8
Goa,Beach,35.1
Kutch,Desert,14.2
Hyderabad,Water Park,26.2
Shimla,Hill Station,29.8
Mumbai,Beach,38.9
Jaipur,Desert,30.0
Manali,Hill Station,14.9
Bikaner,Desert,25.3
Goa,Beach,31.7
Bangalore,Water Park,17.9
Puri,Beach,14.1
Hyderabad,Water Park,20.0
Bikaner,Desert,29.6
Jaipur,Desert,16.3
Ooty,Hill Station,32.6
Ooty,Hill Station,33.4
Bangalore,Water Park,20.0
Bikaner,Desert,35.1
Mumbai,Beach,13.6
Bangalore,Water Park,38.4
Mumbai,Beach,38.1
Shimla,Hill Station,13.2
Jaipur,Desert,19.3
Shimla,Hill Station,35.6
Jaipur,Desert,15.8
Darjeeling,Hill Station,19.0
Hyderabad,Water Park,36.7
Hyderabad,Water Park,32.5
Bikaner,Desert,10.9
Jaisalmer,Desert,22.4
Manali,Hill Station,36.4
Hyderabad,Water Park,17.8
Ooty,Hill Station,36.5
Jaipur,Desert,24.6
Delhi,Water Park,26.8
Chennai,Beach,16.7
Ooty,Hill Station,16.3
Mumbai,Beach,17.6
Jaisalmer,Desert,38.9
Goa,Beach,12.7
Kolkata,Water Park,29.0
Puri,Beach,35.4
Kolkata,Water Park,37.5
Darjeeling,Hill Station,26.2
Manali,Hill Station,14.8
Bikaner,Desert,35.9
Bikaner,Desert,19.2
Jaipur,Desert,21.3
Bangalore,Water Park,38.9
Goa,Beach,11.7
Chennai,Beach,38.0
Jaisalmer,Desert,19.7
Shimla,Hill Station,25.8
Manali,Hill Station,11.0
Kutch,Desert,29.5
Jaisalmer,Desert,26.7
Jaisalmer,Desert,13.8
Manali,Hill Station,31.8
Ooty,Hill Station,13.1
Manali,Hill Station,10.6
Shimla,Hill Station,37.6
Darjeeling,Hill Station,26.4
Delhi,Water Park,26.4
Mumbai,Beach,13.7
Mumbai,Beach,17.1
Mumbai,Beach,37.3
Goa,Beach,17.5
Chennai,Beach,35.1
Hyderabad,Water Park,28.0
Hyderabad,Water Park,27.3
Darjeeling,Hill Station,14.9
Delhi,Water Park,15.0
Ooty,Hill Station,16.6
Kutch,Desert,35.5
Bikaner,Desert,17.6
Mumbai,Beach,26.2
Manali,Hill Station,34.9
Darjeeling,Hill Station,30.2
Jaipur,Desert,32.2
Ooty,Hill Station,28.0
Delhi,Water Park,37.7
Mumbai,Beach,32.1
Darjeeling,Hill Station,31.9
Puri,Beach,29.2
Delhi,Water Park,11.5
Kolkata,Water Park,22.8
Kutch,Desert,36.9
Kutch,Desert,17.3
Chennai,Beach,10.1
Goa,Beach,10.1
Jaipur,Desert,35.9
Manali,Hill Station,12.7
Jaisalmer,Desert,39.1
Kolkata,Water Park,15.5
Ooty,Hill Station,26.2
Puri,Beach,21.7
Delhi,Water Park,30.2
Jaisalmer,Desert,22.1
Puri,Beach,17.3
Ooty,Hill Station,10.5
Jaipur,Desert,31.0
Manali,Hill Station,35.2
Ooty,Hill Station,32.0
Chennai,Beach,39.4
Hyderabad,Water Park,17.3
Manali,Hill Station,24.4
Darjeeling,Hill Station,32.6
Bangalore,Water Park,23.5
Mumbai,Beach,35.0
Kolkata,Water Park,13.5
Hyderabad,Water Park,37.8
Shimla,Hill Station,20.5
Bangalore,Water Park,20.4
Puri,Beach,10.8
Shimla,Hill Station,22.4
Bikaner,Desert,13.7
Chennai,Beach,30.6
Chennai,Beach,13.0
Goa,Beach,34.5
Jaisalmer,Desert,35.9
Darjeeling,Hill Station,24.2
Jaipur,Desert,32.7
Kutch,Desert,23.4
Delhi,Water Park,24.6
Manali,Hill Station,21.7
Delhi,Water Park,28.5
Chennai,Beach,31.6
Ooty,Hill Station,32.0
Manali,Hill Station,20.5
Shimla,Hill Station,30.9
Ooty,Hill Station,24.0
Hyderabad,Water Park,37.0
Jaipur,Desert,20.2
Delhi,Water Park,24.8
Kolkata,Water Park,32.8
Jaisalmer,Desert,21.3
Shimla,Hill Station,28.8
Jaipur,Desert,28.4
Kolkata,Water Park,30.3
Hyderabad,Water Park,19.0
Darjeeling,Hill Station,34.8
Jaisalmer,Desert,12.7
Kolkata,Water Park,34.9
Kolkata,Water Park,22.7
Kolkata,Water Park,37.8
Manali,Hill Station,28.0
Chennai,Beach,12.8
Jaisalmer,Desert,10.1
Kutch,Desert,20.5
Ooty,Hill Station,30.8
Delhi,Water Park,25.0
Bikaner,Desert,31.3
Jaisalmer,Desert,36.4
Puri,Beach,25.1
Mumbai,Beach,23.6
Jaisalmer,Desert,30.8
Bangalore,Water Park,29.7
Darjeeling,Hill Station,16.8
Mumbai,Beach,31.5
Bikaner,Desert,19.4
Mumbai,Beach,21.5
Jaisalmer,Desert,32.1
Jaisalmer,Desert,21.8
Mumbai,Beach,33.5
Ooty,Hill Station,35.8
Darjeeling,Hill Station,38.3
Jaisalmer,Desert,31.6
Kolkata,Water Park,23.5
Mumbai,Beach,26.4
Delhi,Water Park,14.2
Jaipur,Desert,38.0
Kolkata,Water Park,34.4
Goa,Beach,29.1
Hyderabad,Water Park,13.5
Bikaner,Desert,32.9
Bangalore,Water Park,38.2
Bikaner,Desert,24.2
Jaisalmer,Desert,15.1
Jaipur,Desert,17.3
Manali,Hill Station,17.2
Goa,Beach,17.8
Delhi,Water Park,12.8
Bikaner,Desert,33.9
Shimla,Hill Station,38.8
Ooty,Hill Station,26.6
Ooty,Hill Station,25.2
Chennai,Beach,32.4
Kutch,Desert,19.0
Bangalore,Water Park,25.1
Hyderabad,Water Park,38.0
Kutch,Desert,18.9
Jaipur,Desert,29.7
Shimla,Hill Station,38.5
Shimla,Hill Station,18.2
Manali,Hill Station,16.5
Kolkata,Water Park,25.4
Delhi,Water Park,33.4
Delhi,Water Park,26.9
Bikaner,Desert,33.6
Manali,Hill Station,17.6
Kutch,Desert,20.3
Jaipur,Desert,39.9
Ooty,Hill Station,22.4
Bikaner,Desert,26.4
Ooty,Hill Station,38.5
Chennai,Beach,26.4
Goa,Beach,28.6
Puri,Beach,16.7
Bangalore,Water Park,16.7
Kutch,Desert,37.7
Jaipur,Desert,29.6
Kutch,Desert,22.9
Bikaner,Desert,14.8
Jaipur,Desert,39.6
Mumbai,Beach,30.4
Darjeeling,Hill Station,36.6
Delhi,Water Park,39.0
Jaipur,Desert,10.6
Bikaner,Desert,16.6
Jaipur,Desert,19.1
Darjeeling,Hill Station,17.0
Ooty,Hill Station,25.1
Ooty,Hill Station,21.9
Shimla,Hill Station,24.5
Kutch,Desert,38.2
Darjeeling,Hill Station,15.9
Kolkata,Water Park,31.7
Bikaner,Desert,17.5
Darjeeling,Hill Station,23.9
Shimla,Hill Station,13.8
Manali,Hill Station,20.7
Manali,Hill Station,32.5
Chennai,Beach,31.5
Hyderabad,Water Park,19.0
Puri,Beach,34.0
Delhi,Water Park,22.3
Hyderabad,Water Park,10.4
Hyderabad,Water Park,17.2
Goa,Beach,23.4
Bikaner,Desert,13.9
Manali,Hill Station,35.1
Darjeeling,Hill Station,22.4
Goa,Beach,37.3
Shimla,Hill Station,27.8
Goa,Beach,26.0
Darjeeling,Hill Station,28.8
Puri,Beach,34.3
Kolkata,Water Park,17.6
Shimla,Hill Station,27.4
Ooty,Hill Station,28.6
Chennai,Beach,39.3
Kolkata,Water Park,35.5
Darjeeling,Hill Station,33.6
Manali,Hill Station,39.4
Puri,Beach,15.2
Chennai,Beach,18.6
Jaisalmer,Desert,34.5
Manali,Hill Station,37.4
Hyderabad,Water Park,36.6
Shimla,Hill Station,22.2
Jaipur,Desert,29.1
Mumbai,Beach,16.6
Bikaner,Desert,37.4
Jaipur,Desert,14.1
Shimla,Hill Station,19.4
Goa,Beach,17.3
Chennai,Beach,38.7
Jaisalmer,Desert,16.5
Jaisalmer,Desert,37.7
Puri,Beach,33.6
Chennai,Beach,15.6
Hyderabad,Water Park,10.4
Shimla,Hill Station,15.5
Jaipur,Desert,17.0
Manali,Hill Station,32.5
Bangalore,Water Park,21.1
Mumbai,Beach,29.5
Kolkata,Water Park,29.1
Bangalore,Water Park,36.1
Delhi,Water Park,17.6
Hyderabad,Water Park,28.7
Kolkata,Water Park,39.1
Delhi,Water Park,18.4
Delhi,Water Park,26.3
Puri,Beach,20.6
Hyderabad,Water Park,27.1
Jaisalmer,Desert,33.5
Mumbai,Beach,30.8
Hyderabad,Water Park,16.8
Manali,Hill Station,11.6
Kolkata,Water Park,27.0
Puri,Beach,31.7
Jaisalmer,Desert,14.8
Hyderabad,Water Park,15.3
Kolkata,Water Park,21.2
Kutch,Desert,38.9
Delhi,Water Park,21.4
Bangalore,Water Park,10.8
Delhi,Water Park,26.5
Hyderabad,Water Park,11.3
Manali,Hill Station,20.8
Delhi,Water Park,39.7
Hyderabad,Water Park,38.8
Manali,Hill Station,31.3
Shimla,Hill Station,28.0
